targetMuscle,title,src
trapezius,One-Arm Dumbbell Upright Row,https://fitnessprogramer.com/wp-content/uploads/2022/12/One-Arm-Dumbbell-Upright-Row.gif
trapezius,Cable Y Raise,https://fitnessprogramer.com/wp-content/uploads/2022/12/cable-y-raise.gif
trapezius,Barbell Upright Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/barbell-uprightrow.gif
trapezius,Resistance Band Bent Over Rear Delt Fly,https://fitnessprogramer.com/wp-content/uploads/2023/01/Resistance-Band-Bent-Over-Rear-Delt-Fly.gif
trapezius,Resistance Band Pull Apart,https://fitnessprogramer.com/wp-content/uploads/2022/12/Resistance-Band-Pull-Apart.gif
trapezius,Single Arm Upright Row | Gymstick,https://fitnessprogramer.com/wp-content/uploads/2022/05/Standing-Single-Arm-Upright-Row.gif
trapezius,Face Pull With Resistance Band,https://fitnessprogramer.com/wp-content/uploads/2022/05/Face-pull.gif
shoulders,One Arm Medicine Ball Slam,https://fitnessprogramer.com/wp-content/uploads/2024/06/One-Arm-Medicine-Ball-Slam.gif
shoulders,Seated Barbell Shoulder Press,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Shoulder-Press.gif
shoulders,Medicine Ball Overhead Throw,https://fitnessprogramer.com/wp-content/uploads/2023/09/Medicine-Ball-Overhead-Throw.gif
shoulders,Dumbbell Push Press,https://fitnessprogramer.com/wp-content/uploads/2023/10/Dumbbell-Push-Press.gif
shoulders,Standing Dumbbell Shoulder Press,https://fitnessprogramer.com/wp-content/uploads/2023/09/Standing-Dumbbell-Overhead-Press.gif
shoulders,Arm Scissors,https://fitnessprogramer.com/wp-content/uploads/2022/02/Arm-Scissors.gif
shoulders,Side Arm Raises,https://fitnessprogramer.com/wp-content/uploads/2021/02/arm-circles.gif
shoulders,Arm Circles,https://fitnessprogramer.com/wp-content/uploads/2021/07/Arm-Circles_Shoulders.gif
shoulders,Dumbbell Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Lateral-Raise.gif
shoulders,Dumbbell Shoulder Press,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Shoulder-Press.gif
shoulders,Smith Machine Behind Neck Press,https://fitnessprogramer.com/wp-content/uploads/2021/06/Smith-Machine-Behind-Neck-Press.gif
shoulders,Smith Machine Shoulder Press,https://fitnessprogramer.com/wp-content/uploads/2021/02/Smith-Machine-Shoulder-Press.gif
shoulders,Cable Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Lateral-Raise.gif
shoulders,45 Degree Incline Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/45-Degree-Incline-Row.gif
shoulders,Lever Shoulder Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lever-Shoulder-Press.gif
shoulders,Standing Close Grip Military Press,https://fitnessprogramer.com/wp-content/uploads/2021/10/Standing-Barbell-Close-Grip-Military-Press.gif
shoulders,Barbell Military Press (Overhead press),https://fitnessprogramer.com/wp-content/uploads/2021/07/Barbell-Standing-Military-Press.gif
shoulders,Dumbbell Chest Supported Lateral Raises,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-Chest-Supported-Lateral-Raises.gif
shoulders,Dumbbell 6 Way Raise,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-6-Ways-Raise.gif
shoulders,Dumbbell 4 Way Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-4-Ways-Lateral-Raise.gif
shoulders,Alternating Dumbbell Front Raise,https://fitnessprogramer.com/wp-content/uploads/2021/06/Alternating-Dumbbell-Front-Raise.gif
shoulders,Two Arm Cable Front Raise,https://fitnessprogramer.com/wp-content/uploads/2021/08/Two-Arm-Cable-Front-Raise.gif
shoulders,Two Arm Dumbbell Front Raise,https://fitnessprogramer.com/wp-content/uploads/2021/08/Two-Arm-Dumbbell-Front-Raise.gif
shoulders,Dumbbell Front Raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Front-Raise.gif
shoulders,Cable Front Raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Front-Raise.gif
shoulders,Leaning Single Arm Dumbbell Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/06/Leaning-Single-Arm-Dumbbell-Lateral-Raise.gif
shoulders,Seated Behind Neck Press,https://fitnessprogramer.com/wp-content/uploads/2021/05/Seated-Behind-the-Neck-Press.gif
shoulders,Rear Delt Fly Machine,https://fitnessprogramer.com/wp-content/uploads/2021/02/Rear-Delt-Machine-Flys.gif
shoulders,Seated Rear Lateral Dumbbell Raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Seated-Rear-Lateral-Dumbbell-Raise.gif
shoulders,Half Arnold Press,https://fitnessprogramer.com/wp-content/uploads/2021/10/Half-Arnold-Press.gif
shoulders,Arnold Press,https://fitnessprogramer.com/wp-content/uploads/2021/02/Arnold-Press.gif
shoulders,Seated Dumbbell Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/04/Seated-Dumbbell-Lateral-Raise.gif
shoulders,Cable Rear Delt Fly,https://fitnessprogramer.com/wp-content/uploads/2021/02/cable-rear-delt-fly.gif
shoulders,Bent Over Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bent-Over-Lateral-Raise.gif
shoulders,Bent Arm Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Bent-Arm-Laterl-Raise.gif
shoulders,Cable Upright Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Upright-Row.gif
shoulders,Face Pull,https://fitnessprogramer.com/wp-content/uploads/2021/02/Face-Pull.gif
shoulders,Half Kneeling High Cable Row Rope,https://fitnessprogramer.com/wp-content/uploads/2021/04/Half-Kneeling-High-Cable-Row-Rope.gif
shoulders,Leaning Cable Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/09/Leaning-Cable-Lateral-Raise.gif
shoulders,Dumbbell Raise,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Raise.gif
shoulders,Dumbbell Upright Row,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Upright-Row.gif
shoulders,Bodyweight Military Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Bodyweight-Military-Press.gif
shoulders,Push Press,https://fitnessprogramer.com/wp-content/uploads/2021/02/push-press-1.gif
shoulders,Ez Bar Upright Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Upright-Row.gif
shoulders,Dumbbell Lying One-Arm Rear Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Lying-One-Arm-Rear-Lateral-Raise.gif
shoulders,Lateral Raise Machine,https://fitnessprogramer.com/wp-content/uploads/2021/06/Lateral-Raise-Machine.gif
shoulders,Scott Press,https://fitnessprogramer.com/wp-content/uploads/2021/06/scott-press.gif
shoulders,Band Pull-Apart,https://fitnessprogramer.com/wp-content/uploads/2021/06/Band-pull-apart.gif
shoulders,Bent Over Reverse Cable Fly,https://fitnessprogramer.com/wp-content/uploads/2021/04/bent-over-reverse-cable-fly.gif
shoulders,Bent-Over Barbell Reverse Raise,https://fitnessprogramer.com/wp-content/uploads/2021/04/Bent-Over-Barbell-Reverse-Raise.gif
shoulders,Weighted Round Arm,https://fitnessprogramer.com/wp-content/uploads/2021/04/weighted-round-arm.gif
